A,2
alpha_sab,0.98
alpha_sg,0.5
Ca,1008.2
Cab,910
Cf,4180
Cg,840
Ci,840
din,0.015
eg,0.8
eg,0.8
ep,0.8
g,9.807
ka,2.62E-02
kf,3.00E+01
ki,0.033
Lc,2
Li,0.01
Ltube,1.8
rhoa,1.177
rhoab,2700
rhof,1000
rhog,2400
rhoi,1040
sigma,5.67E-08
tau,0.7
Va,1
Vab,0.5
Vg,0.4
Vi,1
